Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,50,WAS,Mike Sainristil,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,SainMi00
2,51,PIT,Zach Frazier,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,College Stats,FrazZa00
2,52,IND,Adonai Mitchell,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,MitcAd00
2,53,WAS,Ben Sinnott,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats,SinnBe00
2,54,CLE,Michael Hall,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,HallMi00
2,55,MIA,Patrick Paul,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats,PaulPa01
2,56,DAL,Marshawn Kneeland,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Western Michigan,College Stats,KneeMa00
2,57,TAM,Chris Braswell,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,BrasCh01
2,58,GNB,Javon Bullard,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,BullJa00
2,59,HOU,Blake Fisher,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,FishBl00
2,60,BUF,Cole Bishop,SAF,21,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,BishCo00
2,61,DET,Ennis Rakestraw,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,RakeEn00
2,62,BAL,Roger Rosengarten,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,RoseRo01
2,63,KAN,Kingsley Suamataia,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,BYU,College Stats,SuamKi00
2,64,SFO,Renardo Green,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,GreeRe00
3,65,NYJ,Malachi Corley,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Western Kentucky,College Stats,CorlMa00
3,66,ARI,Trey Benson,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,BensTr01
3,67,WAS,Brandon Coleman,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,ColeBr02
3,68,NWE,Caedan Wallace,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,WallCa00
3,69,LAC,Junior Colson,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,ColsJu00
3,70,NYG,Andru Phillips,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats,PhilAn02
3,71,ARI,Isaiah Adams,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats,AdamIs01
3,72,CAR,Trevin Wallace,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats,WallTr00
3,73,DAL,Cooper Beebe,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats,BeebCo00
3,74,ATL,Bralen Trice,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,TricBr00
3,75,CHI,Kiran Amegadjie,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Yale,,AmegKi00
3,76,DEN,Jonah Elliss,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,ElliJo03
3,77,LVR,Delmar Glaze,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,GlazDe00
3,78,HOU,Calen Bullock,SAF,21,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,BullCa00
3,79,IND,Matt Goncalves,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats,GoncMa00
3,80,CIN,Jermaine Burton,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,BurtJe01
3,81,SEA,Christian Haynes,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Connecticut,College Stats,HaynCh00
3,82,ARI,Tip Reiman,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats,ReimTi00
3,83,LAR,Blake Corum,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,CoruBl00
3,84,PIT,Roman Wilson,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,WilsRo02
3,85,CLE,Zak Zinter,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,ZintZa00
3,86,SFO,Dominick Puni,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Kansas,College Stats,PuniDo00
3,87,DAL,Marist Liufau,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,LiufMa00
3,88,GNB,MarShawn Lloyd,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,LloyMa00
3,89,TAM,Tykee Smith,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,SmitTy05
3,90,ARI,Elijah Jones,DB,24,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,College Stats,JoneEl00
3,91,GNB,Ty'Ron Hopper,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,HoppTy00
3,92,TAM,Jalen McMillan,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,McMiJa01
3,93,BAL,Adisa Isaac,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,IsaaAd00
3,94,PHI,Jalyx Hunt,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Houston Christian,,HuntJa02
3,95,BUF,DeWayne Carter,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Duke,College Stats,CartDe03
3,96,JAX,Jarrian Jones,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,JoneJa14
3,97,CIN,McKinnley Jackson,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,JackMc00
3,98,PIT,Payton Wilson,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,College Stats,WilsPa00
3,99,LAR,Kamren Kinchens,SAF,21,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,KincKa00
