Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
6,215,SFO,Jarrett Kingston,OL,,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,KingJa02
6,216,DAL,Ryan Flournoy,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,SE Missouri St.,,FlouRy00
6,217,LAR,Beaux Limmer,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats,LimmBe00
6,218,BAL,Devin Leary,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats,LearDe00
6,219,BUF,Daequan Hardy,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,HardDa02
6,220,TAM,Elijah Klein,OG,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas-El Paso,College Stats,KleiEl00
7,221,BUF,Travis Clayton,OT,,,0,0,0,,,,,,,,,,,,,,,,,,,,ClayTr00
7,222,WAS,Javontae Jean-Baptiste,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,JeanJa00
7,223,LVR,Trey Taylor,FS,23,,0,0,0,,,,,,,,,,,,,,,,,,Air Force,College Stats,TaylTr03
7,224,CIN,Daijahn Anthony,SAF,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,AnthDa00
7,225,LAC,Brenden Rice,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,RiceBr00
7,226,ARI,Jaden Davis,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,DaviJa09
7,227,CLE,Myles Harden,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,South Dakota,,HardMy00
7,228,BAL,Nick Samac,C,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,College Stats,SamaNi00
7,229,LVR,M.J. Devonshire,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,,DevoMJ00
7,230,MIN,Michael Jurgens,OL,,,0,0,0,,,,,,,,,,,,,,,,,,Wake Forest,College Stats,JurgMi01
7,231,NWE,Jaheim Bell,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,BellJa00
7,232,MIN,Levi Drake Rodriguez,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M-Commerce,,DrakLe00
7,233,DAL,Nathan Thomas,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana,,ThomNa01
7,234,IND,Jonah Laulu,DL,,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,LaulJo00
7,235,DEN,Devaughn Vele,WR,26,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,VeleDe00
7,236,JAX,Myles Cole,OLB,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats,ColeMy00
7,237,CIN,Matt Lee,C,23,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,LeexMa02
7,238,HOU,Solomon Byrd,DE,24,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,ByrdSo00
7,239,NOR,Josiah Ezirim,OT,23,,0,0,0,,,,,,,,,,,,,,,,,,Eastern Kentucky,,EzirJo00
7,240,CAR,Michael Barrett,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,BarrMi00
7,241,MIA,Tahj Washington,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,WashTa00
7,242,TEN,James Williams,SAF,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,WillJa15
7,243,CLE,Jowon Briggs,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Cincinnati,College Stats,BrigJo00
7,244,DAL,Justin Rogers,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,RogeJu01
7,245,GNB,Michael Pratt,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,College Stats,PratMi00
7,246,TAM,Devin Culp,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,CulpDe00
7,247,HOU,Marcus Harris,DL,,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,HarrMa08
7,248,KAN,C.J. Hanson,OG,,,0,0,0,,,,,,,,,,,,,,,,,,Holy Cross,,HansCJ00
7,249,HOU,LaDarius Henderson,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,HendLa00
7,250,BAL,Sanoussi Kane,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Purdue,College Stats,KaneSa00
7,251,SFO,Tatum Bethune,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,BethTa00
7,252,TEN,Jaylen Harrell,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,HarrJa05
7,253,LAC,Cornelius Johnson,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,JohnCo02
7,254,LAR,KT Leveston,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats,LeveKT00
7,255,GNB,Kalen King,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,KingKa00
7,256,DEN,Nick Gargiulo,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,GargNi00
7,257,NYJ,Jaylen Key,SAF,24,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,KeyxJa00
